Lista de participantes ativos do Pix
 ;Nome Reduzido;ISPB;CNPJ;Tipo de Instituição;Autorizada pelo BCB;Tipo de Participação no SPI;Tipo de Participação no Pix;Modalidade de Participação no Pix;Iniciação de Transação de Pagamento;Facilitador de serviço de Saque e Troco (FSS)
79;BCO PINE S.A.;62144175;62.144.175/0001-20;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
80;BCO RENDIMENTO S.A.;68900810;68.900.810/0001-38;Banco Comercial;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
81;BCO RIBEIRAO PRETO S.A.;00517645;00.517.645/0001-04;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
82;BCO SAFRA S.A.;58160789;58.160.789/0001-28;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Não
83;BCO SANTANDER (BRASIL) S.A.;90400888;90.400.888/0001-42;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
84;BCO SENFF S.A.;11970623;11.970.623/0001-03;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
85;BCO SOFISA S.A.;60889128;60.889.128/0001-80;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
86;BCO TRIANGULO S.A.;17351180;17.351.180/0001-59;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Sim
87;BCO VOTORANTIM S.A.;59588111;59.588.111/0001-03;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Não
88;BCO VR S.A.;78626983;78.626.983/0001-63;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
89;BCO WESTERN UNION;13720915;13.720.915/0001-13;Banco Comercial;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
90;BCO XP S.A.;33264668;33.264.668/0001-03;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
91;BEES IP LTDA.;35523352;35.523.352/0001-06;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
92;BEETELLER;32074986;32.074.986/0001-30;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Sim;Não
93;BELLUNO IP LTDA.;25238191;25.238.191/0001-55;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
94;BELVO IP;;43.215.815/0001-09;Instituição de Pagamento;Sim;;Facultativa;Iniciador;Sim;N/A
95;BIPA INSTITUICAO DE PAGAMENTO;40910463;40.910.463/0001-05;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
96;BITSO IP LTDA;35136120;35.136.120/0001-03;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
97;BIZ IP LTDA.;12481100;12.481.100/0001-66;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
98;BK IP S.A.;16814330;16.814.330/0001-50;Instituição de Pagamento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
99;BLU IP LTDA.;10506341;10.506.341/0001-97;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
100;BLU PAY;04838403;04.838.403/0001-65;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
101;BM PLENO S.A.;61024352;61.024.352/0001-71;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
102;BMP SCD S.A.;34337707;34.337.707/0001-00;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
103;BMP SCMEPP LTDA;11581339;11.581.339/0001-45;Sociedade de Crédito ao Microempreendedor;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
104;BMS SCD S.A.;17826860;17.826.860/0001-81;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
105;BNK DIGITAL SCD S.A.;45331622;45.331.622/0001-30;Sociedade de Crédito Direto;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
106;BNS CAPITAL PAGAMENTOS LTDA;40557732;40.557.732/0001-00;Instituição de Pagamento não sujeita à autorização pelo BCB;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
107;BOFA MERRILL LYNCH BM S.A.;62073200;62.073.200/0001-21;Banco Múltiplo;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
108;BONUSPAGO SCD S.A.;36586946;36.586.946/0001-29;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
109;BPY CCTVM S.A.;27842177;27.842.177/0001-91;Sociedade Corretora de TVM;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
110;BRASIL CARD IP LTDA;03130170;03.130.170/0001-89;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
111;BRASIL CASH IP S.A.;30507541;30.507.541/0001-71;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
112;BRB - BCO DE BRASILIA S.A.;00000208;00.000.208/0001-00;Banco Múltiplo;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Não
113;BRCONDOS SCD S.A.;49933388;49.933.388/0001-72;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
114;BRINKS PAY IP LTDA.;09437293;09.437.293/0001-43;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
115;BRX BANK IP LTDA.;24722685;24.722.685/0001-48;Instituição de Pagamento;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
116;BS2 PAYMENTS IP S.A.;20520298;20.520.298/0001-78;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
117;BSN;11491029;11.491.029/0001-30;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
118;C.C CREDIVERDE;25528753;25.528.753/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
119;C6 CTVM LTDA.;32345784;32.345.784/0001-86;Sociedade Corretora de TVM;Sim;Indireta;Obrigatória;Provedor de Conta Transacional;Não;Não
120;CAIXA ECONOMICA FEDERAL;00360305;00.360.305/0001-04;Caixa Econômica Federal;Sim;Direta;Obrigatória;Provedor de Conta Transacional;Sim;Sim
121;CAPITAL CONSIG SCD S.A.;40083667;40.083.667/0001-10;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
122;CAPPTA IP S.A.;13966572;13.966.572/0001-71;Instituição de Pagamento;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;Não
123;CARTOS SCD S.A.;21332862;21.332.862/0001-91;Sociedade de Crédito Direto;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
124;CARTWAVE IP;33207641;33.207.641/0001-70;Instituição de Pagamento;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
125;CARUANA SCFI;09313766;09.313.766/0001-09;Sociedade de Crédito, Financiamento e Investimento;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
126;CASA CREDITO S.A. SCM;05442029;05.442.029/0001-47;Sociedade de Crédito ao Microempreendedor;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
127;CBSF DTVM;34829992;34.829.992/0001-86;Sociedade Distribuidora de TVM;Sim;Direta;Facultativa;Provedor de Conta Transacional;Não;Não
128;CC AGROCREDI LTDA;42873828;42.873.828/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
129;CC ALTO PARANAIBA E REGIÃO;25387671;25.387.671/0001-88;Cooperativa de Crédito;Não;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
130;CC ALTO VALE DO ITAJAÍ;80959612;80.959.612/0001-45;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
131;CC ARACREDI LTDA.;00068987;00.068.987/0001-86;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
132;CC CAP UNICIDADES;03047549;03.047.549/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
133;CC CARLOS CHAGAS;41753500;41.753.500/0001-81;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
134;CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE;09403026;09.403.026/0001-55;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
135;CC CENTRO SUL MINEIRO;71238232;71.238.232/0001-20;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
136;CC COCRE;54401286;54.401.286/0001-46;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
137;CC CONTADORES, ADMINISTRADORES, ECONOMISTAS E CORRET SEGUROS;02217068;02.217.068/0001-52;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
138;CC COOPACREDI;65229254;65.229.254/0001-21;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
139;CC COOPCRED;53623781;53.623.781/0001-37;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
140;CC COOPLIVRE;49389307;49.389.307/0001-15;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
141;CC COPERSUL LTDA;18966739;18.966.739/0001-18;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
142;CC CREDCOOPER LTDA;19449602;19.449.602/0001-59;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
143;CC CREDIAGRO;00429890;00.429.890/0001-51;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
144;CC CREDIALP;25353939;25.353.939/0001-60;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
145;CC CREDIARA LTDA.;66398496;66.398.496/0001-01;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
146;CC CREDIBAM LTDA.;66259110;66.259.110/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
147;CC CREDIBELO LTDA. - SICOOB CREDIBELO;71237184;71.237.184/0001-56;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
148;CC CREDIBOM;21670187;21.670.187/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
149;CC CREDICAF LTDA;25395435;25.395.435/0001-03;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
150;CC CREDICAMPINA;01609345;01.609.345/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
151;CC CREDICAMPO LTDA;21661202;21.661.202/0001-54;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
152;CC CREDICARPA;23949522;23.949.522/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
153;CC CREDICERIPA;00966246;00.966.246/0001-12;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
154;CC CREDICITRUS;54037916;54.037.916/0001-45;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
155;CC CREDICOCAPEC;67096909;67.096.909/0001-66;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
156;CC CREDICOPE;38588174;38.588.174/0001-90;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
157;CC CREDIESMERALDAS LTDA.;68512748;68.512.748/0001-07;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
158;CC CREDIFIEMG;07469260;07.469.260/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
159;CC CREDIFOR LTDA;41931445;41.931.445/0001-72;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
160;CC CREDIGUAÇU;67960229;67.960.229/0001-49;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
161;CC CREDILIVRE LTDA. - SICOOB CREDILIVRE;41697103;41.697.103/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
162;CC CREDIMAC LTDA - SICOOB CREDIMAC;64480833;64.480.833/0001-80;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
163;CC CREDIMATA;01152097;01.152.097/0001-10;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
164;CC CREDIMOTA;66788142;66.788.142/0001-73;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
165;CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL;25420696;25.420.696/0001-36;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
166;CC CREDINOR;21866694;21.866.694/0001-14;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
167;CC CREDINORTE - SICOOB CREDINORTE;64276058;64.276.058/0001-45;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
168;CC CREDINOSSO;06324872;06.324.872/0001-91;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
169;CC CREDINTER;24048910;24.048.910/0001-02;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
170;CC CREDIPIMENTA;42934794;42.934.794/0001-00;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
171;CC CREDIRAMA;03412878;03.412.878/0001-22;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
172;CC CREDISETE LTDA;22753982;22.753.982/0001-25;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
173;CC CREDISG;03645752;03.645.752/0001-06;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
174;CC CREDISUDESTE LTDA;22656789;22.656.789/0001-76;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
175;CC CREDIUNA LTDA;64237530;64.237.530/0001-30;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
176;CC CREDIVAG;25404542;25.404.542/0001-50;Cooperativa de Crédito;Sim;Indireta;Facultativa;Provedor de Conta Transacional;Não;N/A
